,age,gender,smile,mood,attention,distance
881,32,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.79
884,31,MALE,BROADLY_SMILING,POSITIVE,LOOKING_DOWN,1.01
901,23,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.44
909,17,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.74
911,17,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.55
912,17,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.68
945,7,MALE,SMILING,NEGATIVE,LOOKING_RIGHT,0.49
947,7,MALE,SMILING,NEUTRAL,LOOKING_DOWN,0.49
948,27,MALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.54
962,37,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.5
966,28,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.56
990,20,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.52
992,20,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.52
994,20,FEMALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.49
1010,14,MALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.64
1012,17,MALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.75
1079,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.58
1080,24,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.36
1081,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.9
1082,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.92
1083,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.68
1086,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.59
1089,24,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.86
1129,29,MALE,SMILING,POSITIVE,LOOKING_DOWN,0.53
1147,21,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.6
1154,21,FEMALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.68
1155,21,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.66
1187,15,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.78
1188,15,FEMALE,NOT_SMILING,POSITIVE,LOOKING_DOWN,0.51
1189,19,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.48
1197,19,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.65
1198,19,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.66
1205,25,FEMALE,NOT_SMILING,NEGATIVE,LOOKING_DOWN,0.71
1207,32,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.74
1208,32,FEMALE,NOT_SMILING,NEUTRAL,LOOKING_DOWN,0.75
1209,32,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.64
1210,36,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.59
1213,35,MALE,SMILING,POSITIVE,LOOKING_AT_ROBOT,0.51
1222,29,FEMALE,SMILING,POSITIVE,LOOKING_DOWN_LEFT,0.55
1294,11,MALE,NOT_SMILING,NEUTRAL,LOOKING_AT_ROBOT,0.5
1348,37,FEMALE,SMILING,NEGATIVE,LOOKING_DOWN_LEFT,0.34
1350,36,FEMALE,SMILING,NEUTRAL,LOOKING_DOWN,0.37
1356,30,FEMALE,SMILING,POSITIVE,LOOKING_DOWN,0.67
1372,18,MALE,SMILING,NEGATIVE,LOOKING_AT_ROBOT,0.35
